id,name,school,department,classification_2,classification_3,school_grade,class_period_semester,class_period_day_of_week,class_period_timetable,credit,professor,ratio_exam,ratio_assignment,ratio_attendance,image_professor,image_background,image_icon,syllabus_url,textbook,classroom,campus
50,光ファイバ通信,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,月,2,2,笠　史郎,80,20,0,professor16.jpg,background1.jpg,icon1.jpg,https://docs.google.com/spreadsheets/d/1aAkKuetYo21ET-Hrf94gHdSA07EJjfrTfXLLcoD8_Gs/edit#gid=00,笠　史郎、”伝送理論の基礎と光ファイバ通信への応用、”　電子情報通信学会、２０１５年３月。,-,-
51,MEMS,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,木,2,2,庄子　習一／関口　哲志／田中　大器／水野　潤,0,100,0,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024001012022260502400126&pLng=jp,指定なし,-,-
52,医用電子工学,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,水,1,2,京相　雅樹,0,90,10,professor19.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024002012022260502400226&pLng=jp,指定なし,-,-
53,高密度集積回路工学,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,月,1,2,辰村　光介／外園　明,0,30+30,40,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024003012022260502400326&pLng=jp,指定なし,-,-
54,エネルギーエレクトロニクス,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,水,5,2,石丸　哲也／岩路　善尚／嶋田　尊衛／森　睦宏,試験と平常点により評価 / -,-,-,professor-multi.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024004012022260502400426&pLng=jp,指定なし,-,-
55,センサネット,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,,,2,,-,-,-,-,background1.jpg,icon1.jpg,-,-,-,-
56,光物性工学,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,金,1,2,赤羽　浩一,0,80,20,no-image.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024014012022260502401426&pLng=jp,指定なし,-,-
57,材料の機器分析,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,木,3,2,井上 靖秀,80,0,20,professor21.jpg,background1.jpg,icon1.jpg,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024015012022260502401526&pLng=jp,指定なし,-,-
58,先端情通信技術とオープンイノベーション,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,,,2,,-,-,-,-,background1.jpg,icon1.jpg,-,-,-,-
59,基幹理工特論B,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,-,-,2,,-,-,-,-,background1.jpg,icon1.jpg,-,-,-,-
60,基幹理工特論C,基幹理工,電子物理システム,C群,専門選択科目,4年以上,春学期,-,-,2,,-,-,-,-,background1.jpg,icon1.jpg,-,-,-,-
